% Model,Janik_2021_1m_modulo23_500Hz_46n_30stopni_5potega_out.mph
% Version,COMSOL 5.3.0.316
% Date,"Jul 1 2021, 15:35"
% Dimension,3
% Nodes,101
% Expressions,15
% Description,
% Length unit,m
% X,Y,Z,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=100,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=125,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=160,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=200,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=315,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=400,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=630,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=800,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1600,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2500
-1.9518089164914751,2.6574231332410054E-16,0.4362834921847748,0.007812091113691927,0.008046308715735577,0.010679457062284759,0.008107828335149394,0.0027764530899781984,0.016776718711927128,0.012769250471928261,0.057487703604868774,0.05064612528431938,0.08208231461544206,3.578392288290767E-4,0.11301949421112753,0.006358158800167548,0.06592077699965597,0.13288931472942794
-1.9371546261960282,2.6768869898683843E-16,0.4973789629074685,0.007305002858942943,0.007575321497373303,0.010541582461038618,0.008805694690422774,0.0035437557121852877,0.01989764990121374,0.014784001407414009,0.06042047809713259,0.04930887738915647,0.09172015289642776,5.079488665959388E-5,0.08770930282045081,0.021237757283995226,0.05011857705230169,0.17333335531069158
-1.9645391347522074,2.6353396028135655E-16,0.37475791354590005,0.008422882587480128,0.008677052310353218,0.011192771502974038,0.00785980256676122,0.00224375177115518,0.014127269110514347,0.01034057194162707,0.049551584088239314,0.04784774475945559,0.07632739575527862,8.370351200498931E-4,0.1162025537238099,6.085465467244411E-4,0.07176226664318114,0.061002451857823346
-1.9753360857713045,2.6106626187261907E-16,0.3128634381431148,0.009152722277582973,0.009476324704760777,0.012080238145739332,0.008059035159788884,0.00194475048200775,0.012561949259468052,0.008087104006730711,0.03853668256880521,0.03960958281573854,0.06723037095408854,0.001326351331506637,0.10777000535518715,3.077658474118902E-4,0.08675413833675709,0.047289084887629805
-1.9841905743418442,2.583418401119007E-16,0.25066127712868963,0.010031803996004566,0.010466192864456677,0.013348629634398531,0.008696478804638993,0.0018636822273077865,0.012558211469609188,0.0066257703842789225,0.027952526802015598,0.0280014889075309,0.050617892666723854,0.001413877720062438,0.11175470550717337,0.001435467953314339,0.08857649870067046,0.03139958933116141
-1.9910934052569054,2.55363317013214E-16,0.18821264165489499,0.011119286497990407,0.011700934491171296,0.015034846871124764,0.009771612684702466,0.0019737017308959024,0.014368805375336077,0.006433119103806585,0.021732069008156708,0.01767969945774366,0.030564485207827438,0.001044999443199041,0.10097096884188644,0.003437125803830701,0.07134182628246759,0.018709906301196188
-1.9960353833095656,2.521333145905718E-16,0.12557874287400148,0.012525703903329303,0.013306055120851618,0.017275007943687914,0.011339477515013834,0.0022480438876339762,0.018001899429781875,0.007710579454849857,0.02263348793246472,0.013201211953468047,0.016651384648752963,6.078846006846824E-4,0.05562612564398142,0.003460670632441277,0.05956485658839776,0.006761173693321097
-2,2.4492935982947064E-16,0,0.01706751021891051,0.018725724704245886,0.025213933345203138,0.017391829841919552,0.0033971538334269546,0.03258172465672531,0.015375995726012013,0.048758133340191474,0.027122857606790656,0.02808147768549344,0.001376952280494673,0.0525283497526584,0.0017065101214651843,0.022089928390353078,0.007097818315621203
-1.9990073132929045,2.4865445485798644E-16,0.06282079193827964,0.014437521736111281,0.015537162436013607,0.020458699136787602,0.013669946147228757,0.0026959120656108253,0.02350384372368542,0.010415843493197524,0.031068668491074168,0.016249619701571637,0.015532791864188464,5.999904595337684E-4,0.02589725918281216,0.001127561201489684,0.01832477300857235,0.009902944688301878
-1.920585459072789,2.693704952555576E-16,0.5579831145617107,0.006894808019710941,0.0072611466452932065,0.010780332944247078,0.009945031610537839,0.004531836172808385,0.022852848468414545,0.015968141182433348,0.058416881546253505,0.04714573978274406,0.10841083341690008,9.442021550314175E-5,0.07031828564114077,0.04926229244928691,0.046251816599272265,0.22840883273318807
