% Model,Janik_2021_1m_2m_6n_modulo7_200Hz_15stopni_5potega_out.mph
% Version,COMSOL 5.3.0.316
% Date,"Jul 1 2021, 15:29"
% Dimension,3
% Nodes,345
% Expressions,15
% Description,
% Length unit,m
% X,Y,Z,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=100,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=125,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=160,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=200,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=315,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=400,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=630,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=800,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1600,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2500
-1.9349573944569824,2.679393119730437E-16,0.505866247048298,0.06330303940808892,0.030902079327252675,0.0028636967385380816,0.01010665540145046,0.047374872532005854,0.009666168725781306,0.008820657886799185,0.058365450113487975,0.025657184267947268,0.053245418913154825,0.001742002451303437,0.015761372896719434,0.009709805761996922,2.9910439031270018E-5,7.340131660714624E-4
-1.9254015089475138,2.689279244147927E-16,0.541123284480985,0.06419263386469382,0.03230199787772421,0.0028799609392124023,0.011119265514479799,0.05370211095262919,0.01073272211619797,0.00975681010036354,0.053659118698147275,0.02627563156919655,0.0651200639742287,0.004235915797433361,0.018100280619243497,0.007756448224611043,1.4363759566071014E-4,0.003859941953949319
-1.9438664459427684,2.6686113920935075E-16,0.4704402466087606,0.06276249677955788,0.029825888279065953,0.002911241545180451,0.009406388175889778,0.041548917019390556,0.008431990356379182,0.007929882792220223,0.06126260032532093,0.02753088993762921,0.04257368425190055,7.37074872112907E-4,0.01318279557647005,0.012714619226007688,4.915231647305725E-4,3.921009279696064E-4
-1.9521268563299192,2.656939214112853E-16,0.43485731259694127,0.06254947909080935,0.0290502121712014,0.003023481043198607,0.009049113850177721,0.036534296551654105,0.00712284636597876,0.00710790032704656,0.06170028466880383,0.030982267720424957,0.03441148843122967,8.628947372713565E-4,0.011729995420606125,0.01596702627232797,0.0015348863249075963,4.93388209468279E-4
-1.959736818543485,2.644381738664188E-16,0.39912947444740837,0.06264608765712859,0.028551359894801596,0.003200248282906108,0.009056190679601242,0.032611187422908625,0.005851167918317509,0.006375238887214337,0.059388469217180107,0.0346109163664783,0.029397707645619792,0.0015756963164890224,0.011843108377750223,0.0181999226499538,0.0018731499159314136,0.0019126990582860176
-1.9666945255085138,2.6309441186232285E-16,0.36326876159473,0.06304141928183347,0.02830576917057048,0.003440136570548453,0.009438243191135249,0.030010441499293043,0.004740296455085338,0.005749499618652616,0.054498069725228554,0.03692585736596383,0.027158747765547712,0.0026492010929305802,0.01235235087967511,0.018990929657074086,0.002391516373174765,0.0028227380821089026
-1.972998170150054,2.6166315068656884E-16,0.32728720347347484,0.06373208406530462,0.028292923075463692,0.003740432253166716,0.010194108448934877,0.028896498612128063,0.0039129897209253,0.005245224332053239,0.047683373821520575,0.03679627858046542,0.026421645116075854,0.004260268729781422,0.011815993695598992,0.018911102038453826,0.003586539914595649,0.0030728334647981857
-1.978645945393155,2.601449056267284E-16,0.29119682951821124,0.06472102317120486,0.028496280353362432,0.004097478743710722,0.01131019414332575,0.02935432758466669,0.0034784512448491254,0.004873658110850178,0.04001129311680506,0.033827033408676065,0.02555021526778152,0.006497716631628586,0.010653544926476133,0.01794632949549316,0.0031792714201489447,0.0042383540048332195
-1.9152005964893135,2.6982646124702628E-16,0.5761993294722534,0.06545434238282093,0.03404942280802472,0.0029583624541339865,0.01240604919283034,0.060210721669390566,0.011564366624734429,0.010712045587182854,0.04800235450700307,0.029578498625167236,0.07684236505914031,0.008034242836219235,0.01927388367974251,0.006837584365806952,3.801559706300996E-4,0.006330570155013364
-1.904357402655823,2.7063453020654957E-16,0.6110824847310967,0.06711031079937449,0.03616652001956572,0.0030961790728847205,0.013922464872145598,0.06658640633138149,0.01212073398359414,0.01165631726661809,0.04229172882445771,0.03500852930812668,0.0875900665789322,0.012539022186652845,0.019200451629160138,0.00683012085389981,8.929264459681433E-4,0.010008210502613923
