% Model,Janik_2021_1m_200Hz_modulo7_30stopni_6n_out.mph
% Version,COMSOL 5.3.0.316
% Date,"Jul 1 2021, 15:32"
% Dimension,3
% Nodes,249
% Expressions,16
% Description,
% Length unit,m
% X,Y,Z,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=100,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=125,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=160,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=200,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=315,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=400,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=630,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=800,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1250,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=1600,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2000,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=2500,abs(acpr.p_s)^2 (kg^2/(m^2*s^4)) @ freq=3150
-1.9590288481868066,2.6456355268131756E-16,0.4025930065966967,0.005393557036837623,0.005737052613728003,0.009821837425908956,0.006548530322950485,0.0022986046284395175,0.004786686414559771,0.028270668288906942,0.025580886811121438,0.010349055566859168,0.005267522363729976,0.0010430540850454991,0.014712570279068554,0.038782769598440583,0.019380703013479737,0.01686103847129468,0.022574498808625925
-1.9482109933665086,2.66269790745861E-16,0.4520936984628833,0.0051097403566777245,0.005427820330336856,0.009584268259730562,0.007169558657747684,0.002878121028248311,0.00556690255603997,0.03264206107916695,0.02886064029426303,0.009429525911145153,0.006304353390732143,0.0010996358946847103,0.017235334610064046,0.04740616343931133,0.026854995139173655,0.016517452847547073,0.015137831830383811
-1.9361433342550498,2.678052145357012E-16,0.5013043901062724,0.004870676726363376,0.005200153120050316,0.009610088642693661,0.008125826405016624,0.003613649112218088,0.0062957041392309124,0.03567574089741415,0.03082856948642375,0.00794442814471931,0.00804172248599358,9.974853854696339E-4,0.021019616766906203,0.04907600845067255,0.030919291052461193,0.015458588722539074,0.010452305739435173
-2,2.4492935982947064E-16,0,0.010459704539749806,0.012120859037060967,0.02181867310354372,0.011788661136048754,0.002692366289975425,0.009803088214231427,0.0326027290924285,0.017431798077764397,0.007826245902165553,0.004646368833195941,0.0024201730159661788,0.001116908574136516,0.007605253429981496,3.7072640411568865E-4,0.0024952235758777122,0.00784783609503166
-1.999354199189208,2.479526044254952E-16,0.050664932742515004,0.009307862278541358,0.010634008442204308,0.01880121545804306,0.010106070532060007,0.0023635585130969035,0.007671053197642976,0.02432090867110536,0.012362706221915015,0.0050279433665810416,0.002792396057619609,0.0012269600069979843,6.969396622948556E-4,0.003748890046079177,1.761037698483245E-4,0.0017619828949000074,0.004212747511086875
-1.9685920759470488,2.6268787555501953E-16,0.3528344189773254,0.005722923709573235,0.006125438987961906,0.010314607251612127,0.0062510350879947515,0.0018884892757360886,0.004109772694798662,0.023309226165383456,0.021267100663213672,0.010229568681857213,0.0055054294456021455,0.0011161695472341685,0.012033835459324044,0.03087459076443676,0.014243302198435238,0.013051784077497257,0.015143692920797069
-1.9974200119360954,2.5081603645040417E-16,0.1012967010191328,0.008378970621946024,0.009455886063079039,0.016470166149221373,0.008794673545595887,0.0020509408396536177,0.0060990180141023255,0.018851588713007707,0.009480361572901832,0.0036899846396750958,0.002181987936275447,0.0010390962110118371,0.0016067275405735183,0.009184135226125482,3.0798601869275015E-4,0.004167871977666485,0.0024487515253645365
-1.9768958538783394,2.606441345799152E-16,0.3028500400743816,0.0061012247198268,0.00659204636401236,0.011051161533995933,0.006256334921119283,0.0016494842131490105,0.0036878573397567706,0.01870670712667236,0.016559474412806176,0.00896760389740633,0.006364306720890734,0.0016274138320967583,0.008587456090685883,0.02722206217010159,0.010491486287489919,0.01164896500088227,0.006317710121066644
-1.9839353592117848,2.5843370496895306E-16,0.2526719743574779,0.0065358666674559356,0.007139417904141843,0.012020569963305095,0.006536731104276533,0.0015710598846536824,0.0036422083934902214,0.015417457075598643,0.01231769938233751,0.0069473185844677945,0.006492365302376524,0.0022287171034219458,0.005877257183963338,0.01864746529012081,0.006618036418298499,0.009552086279189928,0.0022514831360208195
-1.9942022610095576,2.5351828069124907E-16,0.15186320036024092,0.007641764908475422,0.008532366846309583,0.01467480031598664,0.0078102420026771235,0.0018014914118985716,0.004878605276670634,0.015366887156215862,0.008401402312254683,0.003660456076097546,0.0032523518156859833,0.0016531240781917564,0.00355057417109542,0.013053838347531741,7.589914023662225E-4,0.004057281712216942,0.008965573699672406
